                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                  1.047,                 1.1183,                 1.4189,                0.97925,                0.16667,                0.22471,                0.02567,                  3.589,                 2.8574,                 3.1511,              0.0015069,              0.0015069,              0.0015069
                     99,                0.84165,                0.95217,                 1.3412,                    0.5,                0.32849,                0.37936,                0.05497,                 3.7054,                 2.4387,                 3.3765,              0.0015053,              0.0015053,              0.0015053
                    100,                0.90617,                 1.0069,                 1.2888,                0.50125,                0.83333,                0.50166,                0.10943,                 3.2879,                 2.2444,                 2.6812,              0.0015036,              0.0015036,              0.0015036
                    101,                 1.0023,                 1.0538,                 1.4329,                0.50125,                0.83333,                0.50166,                0.10943,                 3.2879,                 2.2444,                 2.6812,               0.001502,               0.001502,               0.001502
                    102,                 0.8639,                0.95588,                 1.3149,                0.63734,                0.83333,                0.56976,                0.15704,                 3.0583,                 2.2102,                  1.957,              0.0015003,              0.0015003,              0.0015003
                    103,                 0.9554,                 1.0309,                 1.3849,                0.72167,                0.72217,                0.58157,                0.18393,                 3.0136,                 2.2258,                 1.8138,              0.0014987,              0.0014987,              0.0014987
                    104,                0.93023,                0.99637,                 1.3404,                0.46638,                    0.5,                0.41963,                 0.1383,                 3.0404,                 2.1262,                 2.0365,               0.001497,               0.001497,               0.001497
                    105,                 1.0318,                 1.0418,                 1.3275,                0.46638,                    0.5,                0.41963,                 0.1383,                 3.0404,                 2.1262,                 2.0365,              0.0014954,              0.0014954,              0.0014954
                    106,                0.91285,                0.98266,                 1.2976,                0.61777,                0.33333,                0.29707,                0.10981,                 3.1547,                 2.5138,                 2.2803,              0.0014937,              0.0014937,              0.0014937
                    107,                0.94898,                 1.0166,                  1.346,                0.57092,                0.33333,                0.23804,                0.06995,                 3.3355,                 2.9023,                 2.3751,              0.0014921,              0.0014921,              0.0014921
                    108,                0.90233,                 1.0023,                 1.3413,                 0.6221,                0.33333,                 0.3659,                0.07581,                 3.4826,                 2.8843,                 2.3944,              0.0014904,              0.0014904,              0.0014904
                    109,                0.91416,                0.98497,                  1.286,                 0.6221,                0.33333,                 0.3659,                0.07581,                 3.4826,                 2.8843,                 2.3944,              0.0014888,              0.0014888,              0.0014888
                    110,                0.92202,                0.99783,                 1.3417,                0.45851,                0.33333,                0.28145,                0.04602,                 3.4134,                 2.5516,                 2.5869,              0.0014871,              0.0014871,              0.0014871
                    111,                0.96382,                0.92921,                 1.2524,                0.24782,                0.49275,                0.45722,                 0.1172,                 3.1666,                 2.2606,                 2.0886,              0.0014855,              0.0014855,              0.0014855
                    112,                 1.0333,                 1.0227,                 1.3294,                0.50699,                0.66667,                0.46327,                0.07748,                 3.0213,                 2.1931,                 1.6859,              0.0014838,              0.0014838,              0.0014838
                    113,                 1.0037,                 1.0036,                 1.3719,                0.50699,                0.66667,                0.46327,                0.07748,                 3.0213,                 2.1931,                 1.6859,              0.0014822,              0.0014822,              0.0014822
                    114,                0.91669,                0.91318,                 1.3459,                0.65722,                0.82221,                0.60961,                0.19493,                 2.8955,                 1.8704,                 1.6231,              0.0014805,              0.0014805,              0.0014805
                    115,                0.89482,                0.95384,                 1.3898,                0.47034,                    0.5,                0.47169,                0.12277,                 3.1149,                  2.012,                 1.7726,              0.0014789,              0.0014789,              0.0014789
                    116,                 1.0074,                0.99816,                 1.4352,                0.72823,                    0.5,                 0.4358,                0.07739,                 3.2542,                 2.2452,                 2.1315,              0.0014772,              0.0014772,              0.0014772
                    117,                0.90589,                0.91215,                 1.3378,                0.72823,                    0.5,                 0.4358,                0.07739,                 3.2542,                 2.2452,                 2.1315,              0.0014756,              0.0014756,              0.0014756
                    118,                0.88758,                0.92699,                 1.3297,                0.16074,                0.33333,                0.18825,                0.04408,                 3.3858,                 2.3676,                 2.2424,              0.0014739,              0.0014739,              0.0014739
                    119,                0.86512,                0.85709,                 1.3761,                0.68504,                0.16667,                0.16496,                0.03336,                 3.6797,                 2.4603,                 2.3135,              0.0014723,              0.0014723,              0.0014723
                    120,                0.87309,                0.92068,                 1.3057,                0.66489,                0.16667,                0.15017,                0.03201,                 3.5867,                 2.4682,                 2.3483,              0.0014706,              0.0014706,              0.0014706
                    121,                0.79604,                 0.8235,                 1.2634,                0.66489,                0.16667,                0.15017,                0.03201,                 3.5867,                 2.4682,                 2.3483,               0.001469,               0.001469,               0.001469
                    122,                0.86808,                0.87332,                 1.2896,                0.66234,                0.16667,                0.12065,                0.02335,                 3.2794,                 2.5513,                 2.1558,              0.0014673,              0.0014673,              0.0014673
                    123,                0.83849,                0.84736,                 1.3833,                0.64706,                0.16667,                0.10091,                0.01573,                 3.1145,                 2.7608,                 2.0753,              0.0014657,              0.0014657,              0.0014657
                    124,                0.88176,                0.89501,                 1.2824,                0.73522,                0.16667,                0.21206,                0.03801,                 3.2936,                 2.9112,                 2.2465,               0.001464,               0.001464,               0.001464
                    125,                0.83787,                0.88054,                 1.2724,                0.73522,                0.16667,                0.21206,                0.03801,                 3.2936,                 2.9112,                 2.2465,              0.0014624,              0.0014624,              0.0014624
                    126,                 1.0406,                 1.0262,                  1.309,                0.57696,                0.33333,                 0.3979,                0.12368,                 3.4674,                  2.386,                 2.5303,              0.0014607,              0.0014607,              0.0014607
                    127,                 0.8557,                0.83568,                 1.2764,                0.60054,                0.62671,                0.48313,                0.11964,                 3.2324,                 2.0103,                 2.1431,              0.0014591,              0.0014591,              0.0014591
